ZCTA20,TOTPOP,MEDFAMINC
04271,0,
04274,5883,103272.0
04275,746,67500.0
04276,5871,59434.0
04280,6935,88708.0
04281,5226,66043.0
04282,5822,95566.0
04284,1069,88500.0
04285,398,62857.0
04286,0,
04287,3158,86294.0
04289,1980,62200.0
04290,1620,83125.0
04292,1000,52404.0
04294,3949,63487.0
04330,26394,74772.0
04341,38,
04342,1814,71250.0
04344,2988,88504.0
04345,12282,92685.0
04346,1522,71875.0
04347,2558,76974.0
04348,3508,85161.0
04349,1302,70000.0
04350,3605,94178.0
04351,2387,95685.0
04352,1618,70341.0
04353,2269,90446.0
04354,1447,97325.0
04355,2616,104489.0
04357,3536,69760.0
04358,4434,95250.0
04359,326,118194.0
04360,642,72279.0
04363,2643,67198.0
04364,6138,95763.0
04401,44285,89518.0
04406,671,55833.0
04408,196,128125.0
04410,1090,95897.0
04411,1693,91979.0
04412,9633,79028.0
04413,170,86964.0
04414,1759,72986.0
04415,271,42115.0
04416,5586,79063.0
04417,407,63333.0
04418,1785,60677.0
04419,2902,96142.0
04421,1289,79028.0
04422,1094,90625.0
04424,953,46360.0
04426,4903,63879.0
04427,2916,71500.0
04428,3500,80000.0
04429,4924,104861.0
04430,1541,66083.0
04431,61,
04434,1200,71250.0
04435,1170,80867.0
04438,1323,61667.0
04441,1761,65907.0
04442,135,51442.0
04443,2162,55750.0
04444,9303,111719.0
04448,1397,68200.0
04449,1127,67917.0
04450,1370,80096.0
04451,265,65357.0
04453,870,56518.0
04454,5,
04455,814,59688.0
04456,2965,83958.0
04457,5794,58217.0
04459,688,64063.0
04460,1200,54783.0
04461,3073,72682.0
04462,4506,65074.0
04463,2678,56895.0
04464,493,65600.0
04468,9234,76513.0
04469,2958,
04471,585,40208.0
04472,1891,97721.0
04473,8171,121818.0
04474,3820,100993.0
04475,505,65000.0
04476,1091,64688.0
04478,507,
04479,1141,51638.0
04481,548,70000.0
04485,183,87500.0
04487,812,59000.0
04488,1293,85536.0
04489,327,98924.0
04490,238,60750.0
04491,154,130329.0
04492,97,63125.0
04493,1823,72212.0
04495,349,47250.0
04496,3837,103913.0
04497,345,79000.0
04530,11584,87233.0
04535,747,85536.0
04537,1438,84676.0
04538,1737,87269.0
04539,1424,89330.0
04541,55,
04543,2257,69896.0
04544,1057,121250.0
